,0
0,1255327915519601.8
1,0.0
2,209221319253267.0
3,244091539128811.4
4,284773462316946.7
5,0.0
6,123014386783170.78
7,178387004455910.47
8,173247951989684.38
9,599100639914505.1
10,813610720571194.5
11,369932734958483.9
12,0.0
13,346484405702839.7
14,992083947359410.0
15,0.0
16,674658716689802.9
17,0.0
18,0.0
19,307490197790310.9
20,198060611785653.5
21,710260295058281.4
22,0.0
23,573842720210176.4
24,658933155211421.9
25,385370861192504.06
26,398350971759536.4
27,356621334450721.8
28,435787676166349.7
29,782971295468049.0
30,449391601096543.75
31,468082290022284.1
32,481867528160580.75
33,495786954227421.75
34,518981224190204.94
35,0.0
36,923574741837535.6
37,456976241160882.06
38,455125233017314.94
39,0.0
40,0.0
41,352066099901560.06
42,672869133874023.5
43,290434845784121.4
44,262677946554661.34
45,0.0
46,321685687669321.1
47,316622285630614.6
48,0.0
