
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B4:20:46:88:9C:84, 2025-09-01 20:45:49, 2025-09-01 20:48:27,  1, 360, WPA3 WPA2, CCMP, SAE, -126,      108,        0,   0.  0.  0.  0,   0, , 
B4:20:46:88:9C:88, 2025-09-01 20:45:49, 2025-09-01 20:48:27,  1, 360, OPN, ,   , -126,      105,        0,   0.  0.  0.  0,   0, , 
B4:20:46:88:9C:86, 2025-09-01 20:45:49, 2025-09-01 20:48:27,  1, 360, WPA2, CCMP, PSK, -126,      106,        8,   0.  0.  0.  0,   6, Casa32, 
3C:5C:F1:3D:D8:EE, 2025-09-01 20:45:49, 2025-09-01 20:48:26, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B4:20:46:88:9C:8E, 2025-09-01 20:45:49, 2025-09-01 20:48:08, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:5C:F1:3D:D8:E4, 2025-09-01 20:45:49, 2025-09-01 20:48:27,  1, 360, WPA3 WPA2, CCMP, SAE, -19,       28,        5,   0.  0.  0.  0,   0, , 
3C:5C:F1:3D:D8:E8, 2025-09-01 20:45:49, 2025-09-01 20:48:19,  1, 360, OPN, ,   , -19,       27,        0,   0.  0.  0.  0,   0, , 
2C:5D:93:7C:2D:58, 2025-09-01 20:45:49, 2025-09-01 20:48:27,  7, 130, WPA2, CCMP, PSK, -68,       41,      638,   0.  0.  0.  0,  10, CamEstacio, 
60:83:E7:07:83:1A, 2025-09-01 20:45:50, 2025-09-01 20:48:27,  2, 360, WPA2, CCMP, PSK, -75,       71,       30,   0.  0.  0.  0,   3, M&M, 
6A:83:E7:07:83:1A, 2025-09-01 20:45:50, 2025-09-01 20:48:27,  2, 360, WPA2, CCMP, PSK, -21,       71,        0,   0.  0.  0.  0,   0, , 
60:83:E7:07:85:4A, 2025-09-01 20:45:50, 2025-09-01 20:48:27,  2, 360, WPA2, CCMP, PSK, -17,       71,       20,   0.  0.  0.  0,   3, M&M, 
6A:83:E7:07:85:4A, 2025-09-01 20:45:50, 2025-09-01 20:48:27,  2, 360, WPA2, CCMP, PSK, -19,       60,       39,   0.  0.  0.  0,   0, , 
66:83:E7:07:83:1A, 2025-09-01 20:45:50, 2025-09-01 20:48:27,  2, 360, WPA2, CCMP, PSK, -22,       60,        0,   0.  0.  0.  0,   9, M&M_Guest, 
6E:83:E7:07:85:4A, 2025-09-01 20:45:50, 2025-09-01 20:48:24,  2, 360, WPA2, CCMP, PSK, -19,        7,        0,   0.  0.  0.  0,   0, , 
6A:83:E7:07:85:46, 2025-09-01 20:45:50, 2025-09-01 20:48:20,  2, 360, WPA2, CCMP, PSK, -24,       24,       20,   0.  0.  0.  0,   0, , 
66:83:E7:07:85:4A, 2025-09-01 20:45:50, 2025-09-01 20:48:27,  2, 360, WPA2, CCMP, PSK, -18,       66,        0,   0.  0.  0.  0,   9, M&M_Guest, 
64:64:4A:BB:11:23, 2025-09-01 20:45:51, 2025-09-01 20:48:26,  5, 360, WPA2, CCMP, PSK, -126,      119,        0,   0.  0.  0.  0,  17, 32_Burotto-Xiaomi, 
6A:64:4A:BB:11:23, 2025-09-01 20:45:51, 2025-09-01 20:48:26,  5, 360, OPN, ,   , -126,      122,        0,   0.  0.  0.  0,   0, , 
62:02:14:B6:E8:8B, 2025-09-01 20:45:51, 2025-09-01 20:48:26,  5, 360, OPN, ,   , -17,       77,        0,   0.  0.  0.  0,   0, , 
5C:02:14:B6:E8:8B, 2025-09-01 20:45:52, 2025-09-01 20:48:25,  5, 360, WPA2, CCMP, PSK, -17,       51,       10,   0.  0.  0.  0,  17, 32_Burotto-Xiaomi, 
3C:5C:F1:3D:D8:E6, 2025-09-01 20:45:53, 2025-09-01 20:48:27,  1, 360, WPA2, CCMP, PSK, -75,       23,        9,   0.  0.  0.  0,   2, TC, 
3C:5C:F1:3D:D8:EC, 2025-09-01 20:45:53, 2025-09-01 20:48:23,  1, 360, WPA2, CCMP, PSK, -19,       27,        0,   0.  0.  0.  0,   4, TC-2, 
62:02:71:C0:2E:F0, 2025-09-01 20:45:59, 2025-09-01 20:48:22, 11, 130, WPA2 WPA, CCMP, PSK, -28,        7,        0,   0.  0.  0.  0,  18, Wifi_GrupoGTD_2EEF, 
64:97:14:C7:1A:C4, 2025-09-01 20:46:00, 2025-09-01 20:48:12,  1, 360, WPA3 WPA2, CCMP, SAE, -24,        8,        0,   0.  0.  0.  0,   0, , 
64:97:14:C7:1A:C8, 2025-09-01 20:46:00, 2025-09-01 20:47:11,  1, 360, OPN, ,   , -24,        4,        0,   0.  0.  0.  0,   0, , 
00:02:71:B9:18:67, 2025-09-01 20:46:10, 2025-09-01 20:48:22, 11, 130, WPA2, CCMP, PSK, -27,       17,        2,   0.  0.  0.  0,   6, Pbcasa, 
B4:E8:42:55:6A:DE, 2025-09-01 20:46:10, 2025-09-01 20:47:18,  6,  65, OPN, ,   , -24,        6,        0,   0.  0.  0.  0,  16, LEDnet0033556ADE, 
54:3D:92:16:FB:38, 2025-09-01 20:46:14, 2025-09-01 20:48:05,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
