
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B4:20:46:5C:E1:04, 2025-09-01 20:36:08, 2025-09-01 20:40:30,  1, 360, WPA3 WPA2, CCMP, SAE, -21,       86,       20,   0.  0.  0.  0,   0, , 
B4:20:46:5C:E1:08, 2025-09-01 20:36:08, 2025-09-01 20:40:19,  1, 360, OPN, ,   , -21,       61,        0,   0.  0.  0.  0,   0, , 
B4:20:46:5C:E1:06, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, WPA2, CCMP, PSK, -19,       72,        0,   0.  0.  0.  0,   2, TC, 
B4:20:46:5C:E1:0C, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, WPA2, CCMP, PSK, -19,       66,        0,   0.  0.  0.  0,   4, TC-2, 
AA:2C:21:49:DD:31, 2025-09-01 20:36:08, 2025-09-01 20:39:50,  1, 540, WPA2, CCMP, PSK, -31,       21,        0,   0.  0.  0.  0,   0, , 
B4:20:46:88:9C:88, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, OPN, ,   , -13,      137,        0,   0.  0.  0.  0,   0, , 
3C:5C:F1:3D:D8:E4, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, WPA3 WPA2, CCMP, SAE,  -3,      151,        3,   0.  0.  0.  0,   0, , 
3C:5C:F1:3D:D8:E8, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, OPN, ,   ,  -3,      153,        0,   0.  0.  0.  0,   0, , 
3C:5C:F1:3D:D8:E6, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, WPA2, CCMP, PSK,  -3,      149,       13,   0.  0.  0.  0,   2, TC, 
3C:5C:F1:3D:D8:EC, 2025-09-01 20:36:08, 2025-09-01 20:40:33,  1, 360, WPA2, CCMP, PSK,  -3,      150,        0,   0.  0.  0.  0,   4, TC-2, 
B4:20:46:88:9C:84, 2025-09-01 20:36:09, 2025-09-01 20:40:33,  1, 360, WPA3 WPA2, CCMP, SAE, -13,      150,        0,   0.  0.  0.  0,   0, , 
B4:20:46:88:9C:86, 2025-09-01 20:36:09, 2025-09-01 20:40:30,  1, 360, WPA2, CCMP, PSK, -15,      140,       21,   0.  0.  0.  0,   6, Casa32, 
6A:83:E7:07:85:4A, 2025-09-01 20:36:09, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -80,       39,       20,   0.  0.  0.  0,   0, , 
6A:83:E7:07:83:1A, 2025-09-01 20:36:09, 2025-09-01 20:36:34,  2, 360, WPA2, CCMP, PSK, -26,        2,        0,   0.  0.  0.  0,   0, , 
66:83:E7:07:85:4A, 2025-09-01 20:36:09, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -24,       42,        0,   0.  0.  0.  0,   9, M&M_Guest, 
60:83:E7:07:85:46, 2025-09-01 20:36:09, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -79,       44,       22,   0.  0.  0.  0,   3, M&M, 
66:83:E7:07:85:46, 2025-09-01 20:36:09, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -25,       40,        0,   0.  0.  0.  0,   9, M&M_Guest, 
60:83:E7:07:85:4A, 2025-09-01 20:36:09, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -78,       42,       14,   0.  0.  0.  0,   3, M&M, 
62:02:14:B6:E8:8B, 2025-09-01 20:36:10, 2025-09-01 20:40:36,  5, 360, OPN, ,   , -126,      159,        0,   0.  0.  0.  0,   0, , 
5C:02:14:B6:E8:8B, 2025-09-01 20:36:11, 2025-09-01 20:40:36,  5, 360, WPA2, CCMP, PSK, -126,      139,        8,   0.  0.  0.  0,  17, 32_Burotto-Xiaomi, 
3C:5C:F1:04:77:C4, 2025-09-01 20:36:12, 2025-09-01 20:40:30,  1, 360, WPA3 WPA2, CCMP, SAE, -22,       57,        0,   0.  0.  0.  0,   0, , 
66:83:E7:07:83:1A, 2025-09-01 20:36:13, 2025-09-01 20:39:47,  2, 360, WPA2, CCMP, PSK, -20,        8,        0,   0.  0.  0.  0,   9, M&M_Guest, 
64:64:4A:BB:11:23, 2025-09-01 20:36:15, 2025-09-01 20:40:32,  5, 360, WPA2, CCMP, PSK, -22,       49,        0,   0.  0.  0.  0,  17, 32_Burotto-Xiaomi, 
6A:83:E7:07:85:46, 2025-09-01 20:36:16, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -77,       30,       15,   0.  0.  0.  0,   0, , 
6A:64:4A:BB:11:23, 2025-09-01 20:36:18, 2025-09-01 20:40:36,  5, 360, OPN, ,   , -23,       61,        0,   0.  0.  0.  0,   0, , 
EC:75:0C:D3:69:CC, 2025-09-01 20:36:18, 2025-09-01 20:39:46, 11, 360, WPA2 WPA, CCMP, PSK, -28,        5,        0,   0.  0.  0.  0,  18, BELCAR3.0_2.4G_EXT, 
3C:5C:F1:3D:D8:EE, 2025-09-01 20:36:19, 2025-09-01 20:40:33, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B4:20:46:5C:E1:0E, 2025-09-01 20:36:19, 2025-09-01 20:40:30, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B4:20:46:88:9C:8E, 2025-09-01 20:36:19, 2025-09-01 20:40:33, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
6E:83:E7:07:85:4A, 2025-09-01 20:36:23, 2025-09-01 20:40:34,  2, 360, WPA2, CCMP, PSK, -25,       48,        0,   0.  0.  0.  0,   0, , 
3C:5C:F1:04:77:C6, 2025-09-01 20:36:26, 2025-09-01 20:40:30,  1, 360, WPA2, CCMP, PSK, -20,       47,        0,   0.  0.  0.  0,   2, TC, 
3C:5C:F1:04:77:CE, 2025-09-01 20:36:30, 2025-09-01 20:40:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
