Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;B4:20:46:88:9C:84;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;108;0;0;0;0;0;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:27 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;B4:20:46:88:9C:88;;1;No;OPN,None;No;360.0;0;105;0;0;0;0;0;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:27 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Casa32;B4:20:46:88:9C:86;;1;No;WPA2,AES-CCM;No;360.0;0;106;0;8;0;0;8;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:27 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;3C:5C:F1:3D:D8:EE;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:26 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;B4:20:46:88:9C:8E;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:08 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;3C:5C:F1:3D:D8:E4;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;28;0;5;0;0;5;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:27 2025;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;3C:5C:F1:3D:D8:E8;;1;No;OPN,None;No;360.0;0;27;0;0;0;0;0;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:19 2025;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;CamEstacio;2C:5D:93:7C:2D:58;;7;No;WPA2,AES-CCM;No;130.0;0;41;0;638;0;0;638;;;Mon Sep  1 20:45:49 2025;Mon Sep  1 20:48:27 2025;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;M&M;60:83:E7:07:83:1A;;2;No;WPA2,AES-CCM;No;360.0;0;71;0;30;0;0;30;;;Mon Sep  1 20:45:50 2025;Mon Sep  1 20:48:27 2025;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;6A:83:E7:07:83:1A;;2;No;WPA2,AES-CCM;No;360.0;0;71;0;0;0;0;0;;;Mon Sep  1 20:45:50 2025;Mon Sep  1 20:48:27 2025;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
